"","tournamentType","tournament","location","date","outdoor","surface","priceMoneyTotal","round","rankOpponent","opponent","opponentLink","win","score","eventPoints","rank","priceMoney"
"1","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Quarter-Finals","18","Hubert Hurkacz","/en/players/hubert-hurkacz/hb71/","L","36 674 06","360","8","£300,000"
"2","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 16","27","Lorenzo Sonego","/en/players/lorenzo-sonego/su87/","W","75 64 62","360","8","£300,000"
"3","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 32","34","Cameron Norrie","/en/players/cameron-norrie/n771/","W","64 64 57 64","360","8","£300,000"
"4","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 64","56","Richard Gasquet","/en/players/richard-gasquet/g628/","W","761 61 64","360","8","£300,000"
"5","Grand Slam","Wimbledon","London, Great Britain","2021.06.28 - 2021.07.11","O","Grass","£17,066,000","Round of 128","41","Adrian Mannarino","/en/players/adrian-mannarino/me82/","W","64 673 36 62 00 (RET)","360","8","£300,000"
"6","ATP 500","Halle","Halle, Germany","2021.06.14 - 2021.06.20","O","Grass","€1,318,605","Round of 16","21","Felix Auger-Aliassime","/en/players/felix-auger-aliassime/ag37/","L","64 36 26","45","8","€25,480"
"7","ATP 500","Halle","Halle, Germany","2021.06.14 - 2021.06.20","O","Grass","€1,318,605","Round of 32","90","Ilya Ivashka","/en/players/ilya-ivashka/i305/","W","764 75","45","8","€25,480"
"8","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 16","9","Matteo Berrettini","/en/players/matteo-berrettini/bk40/","L","(W/O)","180","8","€170,000"
"9","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 32","59","Dominik Koepfer","/en/players/dominik-koepfer/ke73/","W","765 673 764 75","180","8","€170,000"
"10","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 64","47","Marin Cilic","/en/players/marin-cilic/c977/","W","62 26 764 62","180","8","€170,000"
"11","Grand Slam","Roland Garros","Paris, France","2021.05.31 - 2021.06.13","O","Clay","€17,171,108","Round of 128","204","Denis Istomin","/en/players/denis-istomin/i165/","W","62 64 63","180","8","€170,000"
"12","ATP 250","Geneva","Geneva, Switzerland","2021.05.17 - 2021.05.22","O","Clay","€419,470","Round of 16","75","Pablo Andujar","/en/players/pablo-andujar/a596/","L","46 64 46","0","8","€9,000"
"13","ATP 250","Geneva","Geneva, Switzerland","2021.05.17 - 2021.05.22","O","Clay","€419,470","Round of 32",NA,"Bye",NA,"","","0","8","€9,000"
"14","ATP 250","Doha","Doha, Qatar","2021.03.08 - 2021.03.13","O","Hard","$1,050,570","Quarter-Finals","42","Nikoloz Basilashvili","/en/players/nikoloz-basilashvili/bg23/","L","63 16 57","45","6","$35,060"
"15","ATP 250","Doha","Doha, Qatar","2021.03.08 - 2021.03.13","O","Hard","$1,050,570","Round of 16","28","Daniel Evans","/en/players/daniel-evans/e687/","W","768 36 75","45","6","$35,060"
"16","ATP 250","Doha","Doha, Qatar","2021.03.08 - 2021.03.13","O","Hard","$1,050,570","Round of 32",NA,"Bye",NA,"","","45","6","$35,060"
"17","Grand Slam","Australian Open","Melbourne, Australia","2020.01.20 - 2020.02.03","O","Hard","A$32,505,000","Semi-Finals","2","Novak Djokovic","/en/players/novak-djokovic/d643/","L","671 46 36","720","3","A$1,040,000"
"18","Grand Slam","Australian Open","Melbourne, Australia","2020.01.20 - 2020.02.03","O","Hard","A$32,505,000","Quarter-Finals","100","Tennys Sandgren","/en/players/tennys-sandgren/sl08/","W","63 26 26 768 63","720","3","A$1,040,000"
"19","Grand Slam","Australian Open","Melbourne, Australia","2020.01.20 - 2020.02.03","O","Hard","A$32,505,000","Round of 16","67","Marton Fucsovics","/en/players/marton-fucsovics/f724/","W","46 61 62 62","720","3","A$1,040,000"
"20","Grand Slam","Australian Open","Melbourne, Australia","2020.01.20 - 2020.02.03","O","Hard","A$32,505,000","Round of 32","47","John Millman","/en/players/john-millman/mh30/","W","46 762 64 46 768","720","3","A$1,040,000"
"21","Grand Slam","Australian Open","Melbourne, Australia","2020.01.20 - 2020.02.03","O","Hard","A$32,505,000","Round of 64","41","Filip Krajinovic","/en/players/filip-krajinovic/kb05/","W","61 64 61","720","3","A$1,040,000"
"22","Grand Slam","Australian Open","Melbourne, Australia","2020.01.20 - 2020.02.03","O","Hard","A$32,505,000","Round of 128","75","Steve Johnson","/en/players/steve-johnson/j386/","W","63 62 62","720","3","A$1,040,000"
"23","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2019.11.11 - 2019.11.17","I","Hard","$9,000,000","Semi-Finals","6","Stefanos Tsitsipas","/en/players/stefanos-tsitsipas/te51/","L","36 46","400","3","$645,000"
"24","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2019.11.11 - 2019.11.17","I","Hard","$9,000,000","Round Robin","2","Novak Djokovic","/en/players/novak-djokovic/d643/","W","64 63","400","3","$645,000"
"25","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2019.11.11 - 2019.11.17","I","Hard","$9,000,000","Round Robin","8","Matteo Berrettini","/en/players/matteo-berrettini/bk40/","W","762 63","400","3","$645,000"
"26","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2019.11.11 - 2019.11.17","I","Hard","$9,000,000","Round Robin","5","Dominic Thiem","/en/players/dominic-thiem/tb69/","L","57 57","400","3","$645,000"
"27","ATP 500","Basel","Basel, Switzerland","2019.10.21 - 2019.10.27","I","Hard","€2,082,655","Finals","28","Alex de Minaur","/en/players/alex-de-minaur/dh58/","W","62 62","500","3","€430,125"
"28","ATP 500","Basel","Basel, Switzerland","2019.10.21 - 2019.10.27","I","Hard","€2,082,655","Semi-Finals","7","Stefanos Tsitsipas","/en/players/stefanos-tsitsipas/te51/","W","64 64","500","3","€430,125"
"29","ATP 500","Basel","Basel, Switzerland","2019.10.21 - 2019.10.27","I","Hard","€2,082,655","Quarter-Finals","17","Stan Wawrinka","/en/players/stan-wawrinka/w367/","W","(W/O)","500","3","€430,125"
"30","ATP 500","Basel","Basel, Switzerland","2019.10.21 - 2019.10.27","I","Hard","€2,082,655","Round of 16","49","Radu Albot","/en/players/radu-albot/a829/","W","60 63","500","3","€430,125"
"31","ATP 500","Basel","Basel, Switzerland","2019.10.21 - 2019.10.27","I","Hard","€2,082,655","Round of 32","112","Peter Gojowczyk","/en/players/peter-gojowczyk/g967/","W","62 61","500","3","€430,125"
"32","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2019.10.07 - 2019.10.13","O","Hard","$7,473,620","Quarter-Finals","6","Alexander Zverev","/en/players/alexander-zverev/z355/","L","36 767 36","180","3","$184,000"
"33","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2019.10.07 - 2019.10.13","O","Hard","$7,473,620","Round of 16","14","David Goffin","/en/players/david-goffin/gb88/","W","767 64","180","3","$184,000"
"34","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2019.10.07 - 2019.10.13","O","Hard","$7,473,620","Round of 32","46","Albert Ramos-Vinolas","/en/players/albert-ramos-vinolas/r772/","W","62 765","180","3","$184,000"
"35","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2019.10.07 - 2019.10.13","O","Hard","$7,473,620","Round of 64",NA,"Bye",NA,"","","180","3","$184,000"
"36","Laver Cup","Laver Cup","Geneva, Switzerland","2019.09.16 - 2019.09.22","I","Hard","","Round Robin","20","John Isner","/en/players/john-isner/i186/","W","64 763","0","3","$0"
"37","Laver Cup","Laver Cup","Geneva, Switzerland","2019.09.16 - 2019.09.22","I","Hard","","Round Robin","27","Nick Kyrgios","/en/players/nick-kyrgios/ke17/","W","675 75 107","0","3","$0"
"38","Grand Slam","US Open","New York, NY, U.S.A.","2019.08.26 - 2019.09.08","O","Hard","$28,619,350","Quarter-Finals","78","Grigor Dimitrov","/en/players/grigor-dimitrov/d875/","L","63 46 63 46 26","360","3","$500,000"
"39","Grand Slam","US Open","New York, NY, U.S.A.","2019.08.26 - 2019.09.08","O","Hard","$28,619,350","Round of 16","15","David Goffin","/en/players/david-goffin/gb88/","W","62 62 60","360","3","$500,000"
"40","Grand Slam","US Open","New York, NY, U.S.A.","2019.08.26 - 2019.09.08","O","Hard","$28,619,350","Round of 32","58","Daniel Evans","/en/players/daniel-evans/e687/","W","62 62 61","360","3","$500,000"
"41","Grand Slam","US Open","New York, NY, U.S.A.","2019.08.26 - 2019.09.08","O","Hard","$28,619,350","Round of 64","99","Damir Dzumhur","/en/players/damir-dzumhur/d923/","W","36 62 63 64","360","3","$500,000"
"42","Grand Slam","US Open","New York, NY, U.S.A.","2019.08.26 - 2019.09.08","O","Hard","$28,619,350","Round of 128","190","Sumit Nagal","/en/players/sumit-nagal/n897/","W","46 61 62 64","360","3","$500,000"
"43","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2019.08.12 - 2019.08.18","O","Hard","$6,056,280","Round of 16","70","Andrey Rublev","/en/players/andrey-rublev/re44/","L","36 46","90","3","$74,695"
"44","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2019.08.12 - 2019.08.18","O","Hard","$6,056,280","Round of 32","55","Juan Ignacio Londero","/en/players/juan-ignacio-londero/lb84/","W","63 64","90","3","$74,695"
"45","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2019.08.12 - 2019.08.18","O","Hard","$6,056,280","Round of 64",NA,"Bye",NA,"","","90","3","$74,695"
"46","Grand Slam","Wimbledon","London, Great Britain","2019.07.01 - 2019.07.14","O","Grass","£17,769,000","Finals","1","Novak Djokovic","/en/players/novak-djokovic/d643/","L","675 61 674 64 12-13","600","3","£1,175,000"
"47","Grand Slam","Wimbledon","London, Great Britain","2019.07.01 - 2019.07.14","O","Grass","£17,769,000","Semi-Finals","2","Rafael Nadal","/en/players/rafael-nadal/n409/","W","763 16 63 64","600","3","£1,175,000"
"48","Grand Slam","Wimbledon","London, Great Britain","2019.07.01 - 2019.07.14","O","Grass","£17,769,000","Quarter-Finals","7","Kei Nishikori","/en/players/kei-nishikori/n552/","W","46 61 64 64","600","3","£1,175,000"
"49","Grand Slam","Wimbledon","London, Great Britain","2019.07.01 - 2019.07.14","O","Grass","£17,769,000","Round of 16","20","Matteo Berrettini","/en/players/matteo-berrettini/bk40/","W","61 62 62","600","3","£1,175,000"
"50","Grand Slam","Wimbledon","London, Great Britain","2019.07.01 - 2019.07.14","O","Grass","£17,769,000","Round of 32","28","Lucas Pouille","/en/players/lucas-pouille/pf39/","W","75 62 764","600","3","£1,175,000"
"51","Grand Slam","Wimbledon","London, Great Britain","2019.07.01 - 2019.07.14","O","Grass","£17,769,000","Round of 64","169","Jay Clarke","/en/players/jay-clarke/ci14/","W","61 763 62","600","3","£1,175,000"
"52","Grand Slam","Wimbledon","London, Great Britain","2019.07.01 - 2019.07.14","O","Grass","£17,769,000","Round of 128","86","Lloyd Harris","/en/players/lloyd-harris/hg86/","W","36 61 62 62","600","3","£1,175,000"
"53","ATP 500","Halle","Halle, Germany","2019.06.17 - 2019.06.23","O","Grass","€2,081,830","Finals","33","David Goffin","/en/players/david-goffin/gb88/","W","762 61","250","3","€429,955"
"54","ATP 500","Halle","Halle, Germany","2019.06.17 - 2019.06.23","O","Grass","€2,081,830","Semi-Finals","43","Pierre-Hugues Herbert","/en/players/pierre-hugues-herbert/h996/","W","63 63","250","3","€429,955"
"55","ATP 500","Halle","Halle, Germany","2019.06.17 - 2019.06.23","O","Grass","€2,081,830","Quarter-Finals","20","Roberto Bautista Agut","/en/players/roberto-bautista-agut/bd06/","W","63 46 64","250","3","€429,955"
"56","ATP 500","Halle","Halle, Germany","2019.06.17 - 2019.06.23","O","Grass","€2,081,830","Round of 16","77","Jo-Wilfried Tsonga","/en/players/jo-wilfried-tsonga/t786/","W","765 46 75","250","3","€429,955"
"57","ATP 500","Halle","Halle, Germany","2019.06.17 - 2019.06.23","O","Grass","€2,081,830","Round of 32","57","John Millman","/en/players/john-millman/mh30/","W","761 63","250","3","€429,955"
"58","Grand Slam","Roland Garros","Paris, France","2019.05.27 - 2019.06.09","O","Clay","€20,060,000","Semi-Finals","2","Rafael Nadal","/en/players/rafael-nadal/n409/","L","36 46 26","720","3","€590,000"
"59","Grand Slam","Roland Garros","Paris, France","2019.05.27 - 2019.06.09","O","Clay","€20,060,000","Quarter-Finals","28","Stan Wawrinka","/en/players/stan-wawrinka/w367/","W","764 46 765 64","720","3","€590,000"
"60","Grand Slam","Roland Garros","Paris, France","2019.05.27 - 2019.06.09","O","Clay","€20,060,000","Round of 16","68","Leonardo Mayer","/en/players/leonardo-mayer/md56/","W","62 63 63","720","3","€590,000"
"61","Grand Slam","Roland Garros","Paris, France","2019.05.27 - 2019.06.09","O","Clay","€20,060,000","Round of 32","63","Casper Ruud","/en/players/casper-ruud/rh16/","W","63 61 768","720","3","€590,000"
"62","Grand Slam","Roland Garros","Paris, France","2019.05.27 - 2019.06.09","O","Clay","€20,060,000","Round of 64","144","Oscar Otte","/en/players/oscar-otte/o449/","W","64 63 64","720","3","€590,000"
"63","Grand Slam","Roland Garros","Paris, France","2019.05.27 - 2019.06.09","O","Clay","€20,060,000","Round of 128","74","Lorenzo Sonego","/en/players/lorenzo-sonego/su87/","W","62 64 64","720","3","€590,000"
"64","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2019.05.13 - 2019.05.19","O","Clay","€5,207,405","Quarter-Finals","7","Stefanos Tsitsipas","/en/players/stefanos-tsitsipas/te51/","L","(W/O)","180","3","€128,200"
"65","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2019.05.13 - 2019.05.19","O","Clay","€5,207,405","Round of 16","15","Borna Coric","/en/players/borna-coric/cg80/","W","26 64 767","180","3","€128,200"
"66","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2019.05.13 - 2019.05.19","O","Clay","€5,207,405","Round of 32","72","Joao Sousa","/en/players/joao-sousa/sh90/","W","64 63","180","3","€128,200"
"67","ATP Masters 1000","ATP Masters 1000 Rome","Rome, Italy","2019.05.13 - 2019.05.19","O","Clay","€5,207,405","Round of 64",NA,"Bye",NA,"","","180","3","€128,200"
"68","ATP Masters 1000","ATP Masters 1000 Madrid","Madrid, Spain","2019.05.06 - 2019.05.12","O","Clay","€6,536,160","Quarter-Finals","5","Dominic Thiem","/en/players/dominic-thiem/tb69/","L","63 6711 46","90","3","€160,920"
"69","ATP Masters 1000","ATP Masters 1000 Madrid","Madrid, Spain","2019.05.06 - 2019.05.12","O","Clay","€6,536,160","Round of 16","18","Gael Monfils","/en/players/gael-monfils/mc65/","W","60 46 763","90","3","€160,920"
"70","ATP Masters 1000","ATP Masters 1000 Madrid","Madrid, Spain","2019.05.06 - 2019.05.12","O","Clay","€6,536,160","Round of 32","39","Richard Gasquet","/en/players/richard-gasquet/g628/","W","62 63","90","3","€160,920"
"71","ATP Masters 1000","ATP Masters 1000 Madrid","Madrid, Spain","2019.05.06 - 2019.05.12","O","Clay","€6,536,160","Round of 64",NA,"Bye",NA,"","","90","3","€160,920"
"72","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2019.03.18 - 2019.03.31","O","Hard","$8,359,455","Finals","9","John Isner","/en/players/john-isner/i186/","W","61 64","500","5","$1,354,010"
"73","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2019.03.18 - 2019.03.31","O","Hard","$8,359,455","Semi-Finals","23","Denis Shapovalov","/en/players/denis-shapovalov/su55/","W","62 64","500","5","$1,354,010"
"74","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2019.03.18 - 2019.03.31","O","Hard","$8,359,455","Quarter-Finals","7","Kevin Anderson","/en/players/kevin-anderson/a678/","W","60 64","500","5","$1,354,010"
"75","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2019.03.18 - 2019.03.31","O","Hard","$8,359,455","Round of 16","15","Daniil Medvedev","/en/players/daniil-medvedev/mm58/","W","64 62","500","5","$1,354,010"
"76","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2019.03.18 - 2019.03.31","O","Hard","$8,359,455","Round of 32","103","Filip Krajinovic","/en/players/filip-krajinovic/kb05/","W","75 63","500","5","$1,354,010"
"77","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2019.03.18 - 2019.03.31","O","Hard","$8,359,455","Round of 64","46","Radu Albot","/en/players/radu-albot/a829/","W","46 75 63","500","5","$1,354,010"
"78","ATP Masters 1000","ATP Masters 1000 Miami","Miami, FL, U.S.A.","2019.03.18 - 2019.03.31","O","Hard","$8,359,455","Round of 128",NA,"Bye",NA,"","","500","5","$1,354,010"
"79","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2019.03.04 - 2019.03.17","O","Hard","$8,359,455","Finals","8","Dominic Thiem","/en/players/dominic-thiem/tb69/","L","63 36 57","300","4","$686,000"
"80","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2019.03.04 - 2019.03.17","O","Hard","$8,359,455","Semi-Finals","2","Rafael Nadal","/en/players/rafael-nadal/n409/","W","(W/O)","300","4","$686,000"
"81","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2019.03.04 - 2019.03.17","O","Hard","$8,359,455","Quarter-Finals","67","Hubert Hurkacz","/en/players/hubert-hurkacz/hb71/","W","64 64","300","4","$686,000"
"82","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2019.03.04 - 2019.03.17","O","Hard","$8,359,455","Round of 16","23","Kyle Edmund","/en/players/kyle-edmund/e831/","W","61 64","300","4","$686,000"
"83","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2019.03.04 - 2019.03.17","O","Hard","$8,359,455","Round of 32","40","Stan Wawrinka","/en/players/stan-wawrinka/w367/","W","63 64","300","4","$686,000"
"84","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2019.03.04 - 2019.03.17","O","Hard","$8,359,455","Round of 64","85","Peter Gojowczyk","/en/players/peter-gojowczyk/g967/","W","61 75","300","4","$686,000"
"85","ATP Masters 1000","ATP Masters 1000 Indian Wells","Indian Wells, CA, U.S.A.","2019.03.04 - 2019.03.17","O","Hard","$8,359,455","Round of 128",NA,"Bye",NA,"","","300","4","$686,000"
"86","ATP 500","Dubai","Dubai, U.A.E.","2019.02.25 - 2019.03.02","O","Hard","$2,736,845","Finals","11","Stefanos Tsitsipas","/en/players/stefanos-tsitsipas/te51/","W","64 64","500","7","$565,635"
"87","ATP 500","Dubai","Dubai, U.A.E.","2019.02.25 - 2019.03.02","O","Hard","$2,736,845","Semi-Finals","13","Borna Coric","/en/players/borna-coric/cg80/","W","62 62","500","7","$565,635"
"88","ATP 500","Dubai","Dubai, U.A.E.","2019.02.25 - 2019.03.02","O","Hard","$2,736,845","Quarter-Finals","35","Marton Fucsovics","/en/players/marton-fucsovics/f724/","W","766 64","500","7","$565,635"
"89","ATP 500","Dubai","Dubai, U.A.E.","2019.02.25 - 2019.03.02","O","Hard","$2,736,845","Round of 16","32","Fernando Verdasco","/en/players/fernando-verdasco/v306/","W","63 36 63","500","7","$565,635"
"90","ATP 500","Dubai","Dubai, U.A.E.","2019.02.25 - 2019.03.02","O","Hard","$2,736,845","Round of 32","31","Philipp Kohlschreiber","/en/players/philipp-kohlschreiber/k435/","W","64 36 61","500","7","$565,635"
"91","Grand Slam","Australian Open","Melbourne, Australia","2019.01.14 - 2019.01.27","O","Hard","A$29,687,000","Round of 16","15","Stefanos Tsitsipas","/en/players/stefanos-tsitsipas/te51/","L","7611 673 57 675","180","3","A$260,000"
"92","Grand Slam","Australian Open","Melbourne, Australia","2019.01.14 - 2019.01.27","O","Hard","A$29,687,000","Round of 32","50","Taylor Fritz","/en/players/taylor-fritz/fb98/","W","62 75 62","180","3","A$260,000"
"93","Grand Slam","Australian Open","Melbourne, Australia","2019.01.14 - 2019.01.27","O","Hard","A$29,687,000","Round of 64","189","Daniel Evans","/en/players/daniel-evans/e687/","W","765 763 63","180","3","A$260,000"
"94","Grand Slam","Australian Open","Melbourne, Australia","2019.01.14 - 2019.01.27","O","Hard","A$29,687,000","Round of 128","101","Denis Istomin","/en/players/denis-istomin/i165/","W","63 64 64","180","3","A$260,000"
"95","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2018.11.12 - 2018.11.18","I","Hard","$8,500,000","Semi-Finals","5","Alexander Zverev","/en/players/alexander-zverev/z355/","L","57 675","400","3","$609,000"
"96","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2018.11.12 - 2018.11.18","I","Hard","$8,500,000","Round Robin","6","Kevin Anderson","/en/players/kevin-anderson/a678/","W","64 63","400","3","$609,000"
"97","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2018.11.12 - 2018.11.18","I","Hard","$8,500,000","Round Robin","8","Dominic Thiem","/en/players/dominic-thiem/tb69/","W","62 63","400","3","$609,000"
"98","Nitto ATP Finals","Nitto ATP Finals","London, Great Britain","2018.11.12 - 2018.11.18","I","Hard","$8,500,000","Round Robin","9","Kei Nishikori","/en/players/kei-nishikori/n552/","L","674 36","400","3","$609,000"
"99","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2018.10.29 - 2018.11.04","I","Hard","€4,872,105","Semi-Finals","2","Novak Djokovic","/en/players/novak-djokovic/d643/","L","676 75 673","360","3","€240,235"
"100","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2018.10.29 - 2018.11.04","I","Hard","€4,872,105","Quarter-Finals","11","Kei Nishikori","/en/players/kei-nishikori/n552/","W","64 64","360","3","€240,235"
"101","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2018.10.29 - 2018.11.04","I","Hard","€4,872,105","Round of 16","14","Fabio Fognini","/en/players/fabio-fognini/f510/","W","64 63","360","3","€240,235"
"102","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2018.10.29 - 2018.11.04","I","Hard","€4,872,105","Round of 32","21","Milos Raonic","/en/players/milos-raonic/r975/","W","(W/O)","360","3","€240,235"
"103","ATP Masters 1000","ATP Masters 1000 Paris","Paris, France","2018.10.29 - 2018.11.04","I","Hard","€4,872,105","Round of 64",NA,"Bye",NA,"","","360","3","€240,235"
"104","ATP 500","Basel","Basel, Switzerland","2018.10.22 - 2018.10.28","I","Hard","€1,984,420","Finals","93","Marius Copil","/en/players/marius-copil/ca99/","W","765 64","500","3","€427,765"
"105","ATP 500","Basel","Basel, Switzerland","2018.10.22 - 2018.10.28","I","Hard","€1,984,420","Semi-Finals","20","Daniil Medvedev","/en/players/daniil-medvedev/mm58/","W","61 64","500","3","€427,765"
"106","ATP 500","Basel","Basel, Switzerland","2018.10.22 - 2018.10.28","I","Hard","€1,984,420","Quarter-Finals","32","Gilles Simon","/en/players/gilles-simon/sd32/","W","761 46 64","500","3","€427,765"
"107","ATP 500","Basel","Basel, Switzerland","2018.10.22 - 2018.10.28","I","Hard","€1,984,420","Round of 16","52","Jan-Lennard Struff","/en/players/jan-lennard-struff/sl28/","W","63 75","500","3","€427,765"
"108","ATP 500","Basel","Basel, Switzerland","2018.10.22 - 2018.10.28","I","Hard","€1,984,420","Round of 32","35","Filip Krajinovic","/en/players/filip-krajinovic/kb05/","W","62 46 64","500","3","€427,765"
"109","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2018.10.08 - 2018.10.14","O","Hard","$7,086,700","Semi-Finals","19","Borna Coric","/en/players/borna-coric/cg80/","L","46 46","360","2","$335,750"
"110","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2018.10.08 - 2018.10.14","O","Hard","$7,086,700","Quarter-Finals","12","Kei Nishikori","/en/players/kei-nishikori/n552/","W","64 764","360","2","$335,750"
"111","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2018.10.08 - 2018.10.14","O","Hard","$7,086,700","Round of 16","28","Roberto Bautista Agut","/en/players/roberto-bautista-agut/bd06/","W","63 26 64","360","2","$335,750"
"112","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2018.10.08 - 2018.10.14","O","Hard","$7,086,700","Round of 32","22","Daniil Medvedev","/en/players/daniil-medvedev/mm58/","W","64 46 64","360","2","$335,750"
"113","ATP Masters 1000","ATP Masters 1000 Shanghai","Shanghai, China","2018.10.08 - 2018.10.14","O","Hard","$7,086,700","Round of 64",NA,"Bye",NA,"","","360","2","$335,750"
"114","Laver Cup","Laver Cup","Chicago, IL, U.S.A.","2018.09.17 - 2018.09.23","I","Hard","","Round Robin","10","John Isner","/en/players/john-isner/i186/","W","675 766 107","0","2","$0"
"115","Laver Cup","Laver Cup","Chicago, IL, U.S.A.","2018.09.17 - 2018.09.23","I","Hard","","Round Robin","27","Nick Kyrgios","/en/players/nick-kyrgios/ke17/","W","63 62","0","2","$0"
"116","Grand Slam","US Open","New York, NY, U.S.A.","2018.08.27 - 2018.09.09","O","Hard","$25,282,400","Round of 16","55","John Millman","/en/players/john-millman/mh30/","L","63 57 677 673","180","2","$266,000"
"117","Grand Slam","US Open","New York, NY, U.S.A.","2018.08.27 - 2018.09.09","O","Hard","$25,282,400","Round of 32","30","Nick Kyrgios","/en/players/nick-kyrgios/ke17/","W","64 61 75","180","2","$266,000"
"118","Grand Slam","US Open","New York, NY, U.S.A.","2018.08.27 - 2018.09.09","O","Hard","$25,282,400","Round of 64","56","Benoit Paire","/en/players/benoit-paire/pd31/","W","75 64 64","180","2","$266,000"
"119","Grand Slam","US Open","New York, NY, U.S.A.","2018.08.27 - 2018.09.09","O","Hard","$25,282,400","Round of 128","177","Yoshihito Nishioka","/en/players/yoshihito-nishioka/n732/","W","62 62 64","180","2","$266,000"
"120","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2018.08.13 - 2018.08.19","O","Hard","$5,669,360","Finals","10","Novak Djokovic","/en/players/novak-djokovic/d643/","L","46 46","600","2","$533,690"
"121","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2018.08.13 - 2018.08.19","O","Hard","$5,669,360","Semi-Finals","11","David Goffin","/en/players/david-goffin/gb88/","W","763 11 (RET)","600","2","$533,690"
"122","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2018.08.13 - 2018.08.19","O","Hard","$5,669,360","Quarter-Finals","151","Stan Wawrinka","/en/players/stan-wawrinka/w367/","W","672 766 62","600","2","$533,690"
"123","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2018.08.13 - 2018.08.19","O","Hard","$5,669,360","Round of 16","50","Leonardo Mayer","/en/players/leonardo-mayer/md56/","W","61 766","600","2","$533,690"
"124","ATP Masters 1000","ATP Masters 1000 Cincinnati","Cincinnati, OH, U.S.A.","2018.08.13 - 2018.08.19","O","Hard","$5,669,360","Round of 32","47","Peter Gojowczyk","/en/players/peter-gojowczyk/g967/","W","64 64","600","2","$533,690"
