name	link	active	country	birthday	turnedPro	weight	height	lefty	oneHandedBackhand
"Franco Ribero"	"/en/players/franco-ribero/r0bf/"	TRUE	"ARG"	"1999.09.09"	NA	"82kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Itay Shpindler"	"/en/players/itay-shpindler/sy98/"	FALSE	"ISR"	"1999.01.23"	NA	NA	NA	NA	NA
"Dan Alexandru Tomescu"	"/en/players/dan-alexandru-tomescu/t0aa/"	TRUE	"ROU"	"1999.03.30"	NA	"78kg"	NA	"Right-Handed"	"Unknown Backhand"
"Danylo Veremeychuk"	"/en/players/danylo-veremeychuk/v868/"	TRUE	"UKR"	"1996.11.26"	NA	NA	NA	NA	NA
"Omer Yeshaya"	"/en/players/omer-yeshaya/y280/"	TRUE	"ISR"	"1999.05.15"	NA	NA	NA	NA	NA
"Michael Genender"	"/en/players/michael-genender/gk37/"	FALSE	"USA"	"1997.03.13"	NA	"79kg"	"185cm"	"Left-Handed"	"Two-Handed Backhand"
"Washi Gervais"	"/en/players/washi-gervais/gg53/"	FALSE	"CAN"	"1994.04.21"	NA	"88kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Hady Habib"	"/en/players/hady-habib/hf80/"	TRUE	"LIB"	"1998.08.21"	NA	"88kg"	"188cm"	"Right-Handed"	"Two-Handed Backhand"
"Matteo Herrmann-Zunic"	"/en/players/matteo-herrmann-zunic/hh35/"	FALSE	"GER"	"1998.12.29"	NA	NA	NA	NA	NA
"Samuel Hodor"	"/en/players/samuel-hodor/h09t/"	FALSE	"SVK"	"1996.07.18"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"James Ibrahim"	"/en/players/james-ibrahim/i09m/"	FALSE	"AUS"	"1998.04.12"	NA	"77kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Sorin Andrei Iordache"	"/en/players/sorin-andrei-iordache/i406/"	FALSE	"ROU"	"1998.09.04"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Pablo Irigaray Guarne"	"/en/players/pablo-irigaray-guarne/i405/"	FALSE	"ESP"	"1997.02.18"	NA	"73kg"	"175cm"	"Right-Handed"	"Two-Handed Backhand"
"Jack Mingjie Lin"	"/en/players/jack-mingjie-lin/li16/"	FALSE	"CAN"	"1999.04.15"	NA	NA	NA	NA	NA
"Emmanuel Luria"	"/en/players/emmanuel-luria/l09q/"	FALSE	"ISR"	"1998.07.29"	NA	"68kg"	"183cm"	"Right-Handed"	"Two-Handed Backhand"
"Louroi Martinez"	"/en/players/louroi-martinez/m09j/"	TRUE	"SUI"	"1998.10.01"	NA	"80kg"	"188cm"	"Right-Handed"	"Unknown Backhand"
"Patrick Mayer"	"/en/players/patrick-mayer/m0a1/"	FALSE	"GER"	"1994.01.05"	NA	NA	NA	NA	NA
"Tim Ruehl"	"/en/players/tim-ruehl/rh45/"	FALSE	"GER"	"1998.03.31"	NA	NA	NA	NA	NA
"Lawrence Bataljin"	"/en/players/lawrence-bataljin/bm09/"	TRUE	"AUS"	"1996.05.22"	NA	"53kg"	"168cm"	"Right-Handed"	"Two-Handed Backhand"
"Mattia Bedolo"	"/en/players/mattia-bedolo/b0an/"	FALSE	"ITA"	"1998.11.10"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Martin Facundo Carrizo"	"/en/players/martin-facundo-carrizo/c0by/"	FALSE	"ARG"	"1996.09.22"	NA	NA	NA	NA	NA
"Marius Frosa"	"/en/players/marius-frosa/f891/"	FALSE	"ROU"	"1996.01.01"	NA	NA	NA	NA	NA
"Fermin Peralta Martinez"	"/en/players/fermin-peralta-martinez/p09g/"	FALSE	"ARG"	"1995.02.16"	NA	NA	NA	NA	NA
"Samuele Ramazzotti"	"/en/players/samuele-ramazzotti/rh92/"	FALSE	"ITA"	"1999.02.27"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Artem Strokan"	"/en/players/artem-strokan/s0dt/"	FALSE	NA	"1992.01.28"	NA	"80kg"	"185cm"	"Right-Handed"	"Unknown Backhand"
"Anthony Susanto"	"/en/players/anthony-susanto/sy76/"	TRUE	"INA"	"1997.05.23"	NA	NA	NA	NA	NA
"Valentin Vanta"	"/en/players/valentin-vanta/va67/"	TRUE	"ROU"	"1997.09.28"	NA	"67kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Simohamed Hirs"	"/en/players/simohamed-hirs/hh13/"	FALSE	"MAR"	"1997.05.09"	NA	NA	NA	NA	NA
